"participant","mode","block_order","completed_at","age","gender","exp_symptom_checkers","exp_voice_ai","t1_1_case","t1_1_voice","t1_1_ai_condition","t1_1_initial_pick","t1_1_initial_conf","t1_1_final_pick","t1_1_final_conf","t1_1_shift","t1_2_case","t1_2_voice","t1_2_ai_condition","t1_2_initial_pick","t1_2_initial_conf","t1_2_final_pick","t1_2_final_conf","t1_2_shift","t1_3_case","t1_3_voice","t1_3_ai_condition","t1_3_initial_pick","t1_3_initial_conf","t1_3_final_pick","t1_3_final_conf","t1_3_shift","t1_4_case","t1_4_voice","t1_4_ai_condition","t1_4_initial_pick","t1_4_initial_conf","t1_4_final_pick","t1_4_final_conf","t1_4_shift","t2_1_case","t2_1_voice","t2_1_ai_condition","t2_1_initial_pick","t2_1_initial_conf","t2_1_final_pick","t2_1_final_conf","t2_1_shift","t2_2_case","t2_2_voice","t2_2_ai_condition","t2_2_initial_pick","t2_2_initial_conf","t2_2_final_pick","t2_2_final_conf","t2_2_shift","t2_3_case","t2_3_voice","t2_3_ai_condition","t2_3_initial_pick","t2_3_initial_conf","t2_3_final_pick","t2_3_final_conf","t2_3_shift","t2_4_case","t2_4_voice","t2_4_ai_condition","t2_4_initial_pick","t2_4_initial_conf","t2_4_final_pick","t2_4_final_conf","t2_4_shift","vpA_pleasantness","vpA_genderedness","vpA_competence","vpA_trust","vpA_humanness","vpA_warmth","vpA_intelligibility","vpA_naturalness","vpB_intelligibility","vpB_genderedness","vpB_competence","vpB_naturalness","vpB_trust","vpB_humanness","vpB_warmth","vpB_pleasantness"
"P11","remote","anthro_first","2026-05-25","18–24","männlich",1,3,"case-jonas-trommelfellriss","anthropomorphic","confirm","B",4,"B",5,1,"case-sophie-lungenentzuendung","anthropomorphic","refute","C",6,"C",5,-1,"case-martin-bronchitis","anthropomorphic","refute","B",6,"B",6,0,"case-daniel-belastungsreaktion","anthropomorphic","confirm","A",7,"A",6,-1,"case-paul-ekzem","machine","confirm","B",5,"B",5,0,"case-markus-bandscheibe","machine","confirm","A",6,"A",5,-1,"case-helga-alterswarzen","machine","refute","C",4,"C",5,1,"case-lea-streptokokken","machine","refute","C",5,"C",6,1,6,6,5,3,5,3,7,3,4,5,4,2,3,1,2,2
"P12","remote","machine_first","2026-05-19","18–24","männlich",3,3,"case-tomas-blase","machine","confirm","A",3,"A",4,1,"case-martin-bronchitis","machine","refute","A",5,"A",5,0,"case-sophie-lungenentzuendung","machine","confirm","A",3,"A",5,2,"case-jonas-trommelfellriss","machine","refute","B",3,"B",2,-1,"case-helga-alterswarzen","anthropomorphic","refute","B",2,"A",3,1,"case-paul-ekzem","anthropomorphic","confirm","C",3,"C",4,1,"case-nina-bindehaut","anthropomorphic","refute","C",4,"C",2,-2,"case-tim-karies","anthropomorphic","confirm","C",3,"C",4,1,3,5,3,3,1,4,7,1,7,7,5,4,4,4,5,2
"P13","remote","anthro_first","2026-05-19","18–24","männlich",7,7,"case-helga-alterswarzen","anthropomorphic","confirm","C",3,"C",7,4,"case-nina-bindehaut","anthropomorphic","refute","B",3,"A",4,1,"case-daniel-belastungsreaktion","anthropomorphic","confirm","A",4,"A",6,2,"case-tim-karies","anthropomorphic","refute","B",4,"A",3,-1,"case-anna-erkaeltung","machine","refute","B",3,"B",4,1,"case-tomas-blase","machine","confirm","B",5,"B",6,1,"case-jonas-trommelfellriss","machine","refute","B",2,"A",6,4,"case-martin-bronchitis","machine","confirm","A",2,"A",6,4,6,7,4,5,2,3,7,2,5,4,4,1,5,1,2,2
"P14","remote","anthro_first","2026-05-21","18–24","männlich",2,3,"case-nina-bindehaut","anthropomorphic","confirm","A",4,"A",5,1,"case-martin-bronchitis","anthropomorphic","refute","A",4,"B",3,-1,"case-tomas-blase","anthropomorphic","refute","B",4,"A",4,0,"case-sophie-lungenentzuendung","anthropomorphic","confirm","A",4,"A",5,1,"case-markus-bandscheibe","machine","confirm","B",4,"B",5,1,"case-lea-streptokokken","machine","refute","A",4,"B",4,0,"case-anna-erkaeltung","machine","confirm","B",4,"B",5,1,"case-daniel-belastungsreaktion","machine","refute","A",3,"B",4,1,6,6,4,5,2,5,7,3,6,6,4,3,5,3,4,3
"P15","remote","anthro_first","2026-05-21","25–34","weiblich",7,7,"case-markus-bandscheibe","anthropomorphic","refute","B",5,"B",5,0,"case-jonas-trommelfellriss","anthropomorphic","confirm","B",5,"B",6,1,"case-lea-streptokokken","anthropomorphic","confirm","A",6,"A",6,0,"case-nina-bindehaut","anthropomorphic","refute","B",6,"A",5,-1,"case-anna-erkaeltung","machine","confirm","B",6,"B",6,0,"case-sophie-lungenentzuendung","machine","refute","A",6,"C",5,-1,"case-martin-bronchitis","machine","refute","A",6,"C",5,-1,"case-helga-alterswarzen","machine","confirm","B",5,"B",5,0,3,5,5,4,3,3,6,3,7,4,4,3,3,3,4,5
"P16","remote","machine_first","2026-05-24","55+","weiblich",7,7,"case-markus-bandscheibe","machine","refute","A",7,"A",6,-1,"case-daniel-belastungsreaktion","machine","confirm","A",6,"A",7,1,"case-paul-ekzem","machine","confirm","A",6,"A",7,1,"case-anna-erkaeltung","machine","refute","A",6,"A",6,0,"case-lea-streptokokken","anthropomorphic","confirm","A",6,"A",7,1,"case-jonas-trommelfellriss","anthropomorphic","refute","B",4,"A",5,1,"case-sophie-lungenentzuendung","anthropomorphic","confirm","A",7,"A",7,0,"case-tim-karies","anthropomorphic","refute","B",6,"B",5,-1,3,1,3,3,1,1,4,1,4,6,3,3,3,2,3,3
"P17","remote","anthro_first","2026-05-19","18–24","männlich",5,6,"case-paul-ekzem","anthropomorphic","confirm","B",5,"B",5,0,"case-tomas-blase","anthropomorphic","refute","B",2,"A",5,3,"case-helga-alterswarzen","anthropomorphic","refute","A",5,"A",5,0,"case-martin-bronchitis","anthropomorphic","confirm","C",5,"C",5,0,"case-nina-bindehaut","machine","confirm","C",5,"A",4,-1,"case-sophie-lungenentzuendung","machine","refute","A",6,"C",5,-1,"case-tim-karies","machine","confirm","B",7,"B",7,0,"case-jonas-trommelfellriss","machine","refute","C",5,"C",6,1,5,6,5,5,5,6,6,6,7,3,5,3,5,2,4,5
"P18","remote","machine_first","2026-05-25","18–24","divers",3,1,"case-daniel-belastungsreaktion","machine","confirm","B",2,"B",3,1,"case-jonas-trommelfellriss","machine","refute","B",2,"B",2,0,"case-helga-alterswarzen","machine","refute","A",2,"C",2,0,"case-paul-ekzem","machine","confirm","C",2,"C",3,1,"case-anna-erkaeltung","anthropomorphic","refute","B",2,"B",2,0,"case-martin-bronchitis","anthropomorphic","confirm","A",3,"A",2,-1,"case-markus-bandscheibe","anthropomorphic","confirm","A",2,"A",2,0,"case-tomas-blase","anthropomorphic","refute","A",3,"B",2,-1,1,2,1,1,1,1,3,1,5,6,3,4,3,4,4,5
"P19","remote","anthro_first","2026-05-19","18–24","männlich",2,4,"case-paul-ekzem","anthropomorphic","refute","B",3,"A",3,0,"case-sophie-lungenentzuendung","anthropomorphic","confirm","A",7,"A",7,0,"case-nina-bindehaut","anthropomorphic","confirm","A",4,"A",5,1,"case-martin-bronchitis","anthropomorphic","refute","A",7,"A",6,-1,"case-daniel-belastungsreaktion","machine","confirm","B",4,"B",5,1,"case-jonas-trommelfellriss","machine","refute","B",6,"B",3,-3,"case-helga-alterswarzen","machine","refute","B",4,"B",2,-2,"case-tim-karies","machine","confirm","B",5,"B",6,1,5,7,3,2,2,2,7,2,6,4,5,1,4,1,2,2
"P21","remote","anthro_first","2026-05-19","45–54","weiblich",7,6,"case-lea-streptokokken","anthropomorphic","refute","C",6,"C",5,-1,"case-tomas-blase","anthropomorphic","confirm","A",6,"A",7,1,"case-markus-bandscheibe","anthropomorphic","confirm","A",6,"A",7,1,"case-paul-ekzem","anthropomorphic","refute","A",5,"B",6,1,"case-tim-karies","machine","refute","C",6,"B",6,0,"case-daniel-belastungsreaktion","machine","confirm","B",6,"B",7,1,"case-helga-alterswarzen","machine","confirm","B",6,"B",7,1,"case-nina-bindehaut","machine","refute","A",7,"A",6,-1,6,6,6,7,6,6,7,6,5,6,6,6,5,5,5,4
"P22","remote","machine_first","2026-05-20","25–34","männlich",7,4,"case-paul-ekzem","machine","refute","A",7,"B",7,0,"case-tomas-blase","machine","refute","A",7,"B",7,0,"case-nina-bindehaut","machine","confirm","A",7,"A",7,0,"case-anna-erkaeltung","machine","confirm","A",4,"A",7,3,"case-tim-karies","anthropomorphic","refute","A",7,"A",7,0,"case-markus-bandscheibe","anthropomorphic","confirm","A",7,"A",7,0,"case-sophie-lungenentzuendung","anthropomorphic","confirm","A",7,"A",7,0,"case-martin-bronchitis","anthropomorphic","refute","A",7,"B",2,-5,4,4,7,7,2,5,7,5,7,4,5,3,5,2,4,4
"P23","remote","anthro_first","2026-05-30","45–54","männlich",2,2,"case-daniel-belastungsreaktion","anthropomorphic","refute","A",6,"A",5,-1,"case-sophie-lungenentzuendung","anthropomorphic","confirm","C",6,"C",5,-1,"case-helga-alterswarzen","anthropomorphic","confirm","B",6,"B",5,-1,"case-paul-ekzem","anthropomorphic","refute","C",6,"C",6,0,"case-martin-bronchitis","machine","refute","A",6,"A",6,0,"case-tomas-blase","machine","refute","B",6,"B",6,0,"case-nina-bindehaut","machine","confirm","A",4,"A",4,0,"case-anna-erkaeltung","machine","confirm","A",5,"A",6,1,5,5,4,4,4,4,5,4,5,4,5,3,4,5,5,5
"P24","remote","machine_first","2026-05-19","25–34","männlich",5,3,"case-anna-erkaeltung","machine","refute","B",5,"B",5,0,"case-nina-bindehaut","machine","refute","A",3,"B",4,1,"case-daniel-belastungsreaktion","machine","confirm","B",5,"B",6,1,"case-jonas-trommelfellriss","machine","confirm","B",4,"B",5,1,"case-markus-bandscheibe","anthropomorphic","refute","C",4,"C",4,0,"case-tim-karies","anthropomorphic","confirm","C",5,"C",6,1,"case-lea-streptokokken","anthropomorphic","refute","A",4,"A",4,0,"case-helga-alterswarzen","anthropomorphic","confirm","C",5,"C",6,1,4,6,5,4,2,3,4,3,5,6,2,2,3,5,5,2
"P25","remote","machine_first","2026-05-20","18–24","männlich",5,4,"case-nina-bindehaut","machine","refute","A",4,"A",3,-1,"case-paul-ekzem","machine","confirm","B",2,"B",4,2,"case-daniel-belastungsreaktion","machine","refute","B",5,"A",4,-1,"case-sophie-lungenentzuendung","machine","confirm","C",4,"C",5,1,"case-anna-erkaeltung","anthropomorphic","confirm","C",3,"C",4,1,"case-tim-karies","anthropomorphic","refute","C",3,"C",2,-1,"case-markus-bandscheibe","anthropomorphic","confirm","A",1,"A",3,2,"case-helga-alterswarzen","anthropomorphic","refute","C",2,"C",3,1,4,5,5,4,2,3,6,2,5,6,2,5,2,5,5,4
"P26","remote","anthro_first","2026-05-19","25–34","männlich",5,1,"case-markus-bandscheibe","anthropomorphic","confirm","A",5,"A",6,1,"case-tim-karies","anthropomorphic","confirm","B",5,"B",7,2,"case-helga-alterswarzen","anthropomorphic","refute","C",3,"C",3,0,"case-daniel-belastungsreaktion","anthropomorphic","refute","B",5,"B",5,0,"case-tomas-blase","machine","confirm","A",5,"A",5,0,"case-martin-bronchitis","machine","confirm","A",6,"A",6,0,"case-sophie-lungenentzuendung","machine","refute","C",5,"C",5,0,"case-paul-ekzem","machine","refute","B",4,"A",3,-1,3,7,3,2,1,2,6,2,5,4,4,1,3,1,4,2
"P27","remote","anthro_first","2026-05-22","25–34","divers",7,2,"case-nina-bindehaut","anthropomorphic","refute","A",6,"B",3,-3,"case-lea-streptokokken","anthropomorphic","refute","B",2,"A",5,3,"case-tomas-blase","anthropomorphic","confirm","B",5,"B",7,2,"case-paul-ekzem","anthropomorphic","confirm","A",4,"A",6,2,"case-anna-erkaeltung","machine","confirm","B",3,"B",5,2,"case-helga-alterswarzen","machine","refute","B",5,"A",3,-2,"case-daniel-belastungsreaktion","machine","refute","A",5,"A",3,-2,"case-sophie-lungenentzuendung","machine","confirm","B",3,"B",5,2,5,5,3,2,3,3,6,3,6,2,4,3,2,3,3,5
"P28","remote","anthro_first","2026-05-26","25–34","männlich",5,5,"case-jonas-trommelfellriss","anthropomorphic","confirm","C",5,"C",6,1,"case-sophie-lungenentzuendung","anthropomorphic","refute","A",5,"C",6,1,"case-anna-erkaeltung","anthropomorphic","confirm","B",4,"B",6,2,"case-nina-bindehaut","anthropomorphic","refute","A",4,"C",5,1,"case-tomas-blase","machine","confirm","A",5,"A",5,0,"case-paul-ekzem","machine","confirm","A",5,"A",6,1,"case-tim-karies","machine","refute","B",4,"C",5,1,"case-markus-bandscheibe","machine","refute","B",4,"A",4,0,7,7,5,4,6,6,7,6,7,4,5,4,5,4,5,5
"P29","remote","anthro_first","2026-05-25","55+","weiblich",2,2,"case-paul-ekzem","anthropomorphic","confirm","B",4,"B",7,3,"case-tomas-blase","anthropomorphic","refute","B",7,"B",6,-1,"case-daniel-belastungsreaktion","anthropomorphic","confirm","A",7,"A",7,0,"case-tim-karies","anthropomorphic","refute","B",4,"B",4,0,"case-nina-bindehaut","machine","confirm","A",6,"A",6,0,"case-lea-streptokokken","machine","refute","A",6,"A",6,0,"case-sophie-lungenentzuendung","machine","confirm","C",5,"C",6,1,"case-anna-erkaeltung","machine","refute","A",5,"B",5,0,7,7,5,5,4,5,7,5,6,1,4,4,4,4,3,4
"P31","remote","machine_first","2026-05-19","18–24","männlich",3,4,"case-paul-ekzem","machine","confirm","A",5,"A",6,1,"case-tomas-blase","machine","refute","B",6,"B",5,-1,"case-sophie-lungenentzuendung","machine","confirm","A",3,"A",4,1,"case-jonas-trommelfellriss","machine","refute","C",2,"C",2,0,"case-markus-bandscheibe","anthropomorphic","confirm","B",3,"B",4,1,"case-daniel-belastungsreaktion","anthropomorphic","refute","A",4,"A",3,-1,"case-anna-erkaeltung","anthropomorphic","refute","B",5,"B",4,-1,"case-martin-bronchitis","anthropomorphic","confirm","A",5,"A",6,1,3,5,3,2,1,2,5,2,5,6,3,5,4,5,4,5
"P32","remote","anthro_first","2026-05-20","18–24","weiblich",7,4,"case-sophie-lungenentzuendung","anthropomorphic","confirm","A",5,"A",5,0,"case-daniel-belastungsreaktion","anthropomorphic","refute","A",5,"A",5,0,"case-martin-bronchitis","anthropomorphic","refute","A",5,"B",5,0,"case-helga-alterswarzen","anthropomorphic","confirm","B",3,"B",4,1,"case-paul-ekzem","machine","refute","A",5,"A",5,0,"case-nina-bindehaut","machine","confirm","A",5,"A",5,0,"case-tim-karies","machine","refute","B",5,"B",4,-1,"case-anna-erkaeltung","machine","confirm","B",5,"B",5,0,5,6,4,5,4,4,5,3,5,3,5,3,5,3,5,5
"P33","remote","machine_first","2026-05-21","18–24","männlich",4,5,"case-tim-karies","machine","refute","C",5,"C",4,-1,"case-helga-alterswarzen","machine","refute","C",5,"C",3,-2,"case-jonas-trommelfellriss","machine","confirm","B",7,"B",7,0,"case-markus-bandscheibe","machine","confirm","A",6,"A",7,1,"case-martin-bronchitis","anthropomorphic","refute","A",5,"C",4,-1,"case-lea-streptokokken","anthropomorphic","confirm","C",5,"C",5,0,"case-anna-erkaeltung","anthropomorphic","confirm","A",4,"A",5,1,"case-daniel-belastungsreaktion","anthropomorphic","refute","B",6,"B",7,1,5,6,5,4,1,3,7,2,6,7,5,4,4,5,4,5
"P34","remote","machine_first","2026-05-30","45–54","weiblich",1,3,"case-anna-erkaeltung","machine","confirm","A",4,"A",5,1,"case-lea-streptokokken","machine","refute","A",4,"B",4,0,"case-paul-ekzem","machine","refute","A",4,"B",4,0,"case-tim-karies","machine","confirm","B",5,"B",5,0,"case-martin-bronchitis","anthropomorphic","refute","A",4,"C",4,0,"case-tomas-blase","anthropomorphic","confirm","B",4,"B",5,1,"case-helga-alterswarzen","anthropomorphic","confirm","C",3,"C",3,0,"case-markus-bandscheibe","anthropomorphic","refute","A",3,"B",3,0,5,2,4,4,3,3,4,3,4,6,2,3,3,4,3,4
"P35","remote","anthro_first","2026-05-25","18–24","männlich",2,4,"case-anna-erkaeltung","anthropomorphic","confirm","B",5,"B",6,1,"case-tomas-blase","anthropomorphic","refute","B",7,"B",7,0,"case-tim-karies","anthropomorphic","refute","A",5,"C",5,0,"case-sophie-lungenentzuendung","anthropomorphic","confirm","C",3,"C",4,1,"case-nina-bindehaut","machine","confirm","A",5,"A",5,0,"case-paul-ekzem","machine","refute","A",5,"A",6,1,"case-martin-bronchitis","machine","refute","A",6,"A",5,-1,"case-helga-alterswarzen","machine","confirm","B",5,"B",6,1,6,7,6,5,3,4,7,3,5,5,4,2,3,1,1,1
"P36","remote","machine_first","2026-05-19","18–24","weiblich",2,3,"case-martin-bronchitis","machine","refute","A",4,"A",3,-1,"case-helga-alterswarzen","machine","confirm","A",5,"A",6,1,"case-jonas-trommelfellriss","machine","refute","B",4,"B",2,-2,"case-lea-streptokokken","machine","confirm","C",3,"C",4,1,"case-markus-bandscheibe","anthropomorphic","refute","B",4,"B",1,-3,"case-nina-bindehaut","anthropomorphic","confirm","A",2,"A",5,3,"case-anna-erkaeltung","anthropomorphic","confirm","A",5,"A",5,0,"case-paul-ekzem","anthropomorphic","refute","A",5,"A",4,-1,3,2,4,3,1,2,7,1,7,7,3,3,4,3,2,3
"P37","remote","machine_first","2026-05-21","18–24","weiblich",5,2,"case-tomas-blase","machine","confirm","B",3,"B",7,4,"case-markus-bandscheibe","machine","refute","A",5,"C",3,-2,"case-sophie-lungenentzuendung","machine","refute","A",4,"C",7,3,"case-martin-bronchitis","machine","confirm","A",3,"A",7,4,"case-daniel-belastungsreaktion","anthropomorphic","confirm","B",3,"B",7,4,"case-anna-erkaeltung","anthropomorphic","refute","B",4,"C",7,3,"case-nina-bindehaut","anthropomorphic","refute","A",5,"C",7,2,"case-paul-ekzem","anthropomorphic","confirm","A",4,"A",7,3,4,1,3,4,3,4,6,3,6,6,4,5,5,5,5,5
"P38","remote","anthro_first","2026-05-21","18–24","männlich",7,3,"case-lea-streptokokken","anthropomorphic","confirm","B",1,"B",7,6,"case-jonas-trommelfellriss","anthropomorphic","refute","B",3,"C",7,4,"case-markus-bandscheibe","anthropomorphic","refute","A",2,"C",7,5,"case-sophie-lungenentzuendung","anthropomorphic","confirm","C",2,"C",7,5,"case-tomas-blase","machine","refute","A",1,"C",7,6,"case-daniel-belastungsreaktion","machine","confirm","B",1,"B",7,6,"case-nina-bindehaut","machine","confirm","A",2,"A",7,5,"case-anna-erkaeltung","machine","refute","C",1,"B",7,6,3,6,3,5,3,2,6,2,3,4,4,2,1,2,4,1
"P39","remote","machine_first","2026-05-24","35–44","weiblich",1,2,"case-sophie-lungenentzuendung","machine","refute","B",2,"A",2,0,"case-anna-erkaeltung","machine","confirm","C",3,"C",3,0,"case-markus-bandscheibe","machine","confirm","A",4,"A",6,2,"case-tim-karies","machine","refute","C",1,"A",7,6,"case-lea-streptokokken","anthropomorphic","confirm","A",1,"A",4,3,"case-tomas-blase","anthropomorphic","refute","C",2,"B",5,3,"case-helga-alterswarzen","anthropomorphic","confirm","B",1,"B",1,0,"case-daniel-belastungsreaktion","anthropomorphic","refute","A",1,"B",3,2,4,2,2,3,1,1,5,1,4,7,3,1,1,1,3,4
"P40","remote","machine_first","2026-05-25","25–34","männlich",3,1,"case-daniel-belastungsreaktion","machine","confirm","A",6,"A",6,0,"case-paul-ekzem","machine","refute","A",5,"A",4,-1,"case-helga-alterswarzen","machine","confirm","A",3,"A",3,0,"case-martin-bronchitis","machine","refute","A",4,"A",4,0,"case-lea-streptokokken","anthropomorphic","refute","A",1,"C",1,0,"case-sophie-lungenentzuendung","anthropomorphic","refute","C",1,"A",1,0,"case-nina-bindehaut","anthropomorphic","confirm","C",2,"C",2,0,"case-anna-erkaeltung","anthropomorphic","confirm","A",2,"A",2,0,4,3,4,3,1,1,7,1,7,7,3,6,4,3,4,5
